Right((WeightVector(DenseVector(-0.0017387901941593822, -4.648697470392313, -4.1548938841936325, -2.663892572273105, -1.0774846774271831, -6.295945200338455, 12.681886323384594),0.00969788289237311),400))
Right((WeightVector(DenseVector(-0.001889824049401721, -2.364317254583847, -2.1218828709580615, -1.366204431994834, -0.5760356948113967, -3.1271712983230366, 6.319202922592471),0.3178203039934844),800))
Right((WeightVector(DenseVector(-0.0018402212635598987, -3.422965575860596, -3.235531674502987, 1.5118333725768816, 1.1698738916638662, -4.9691149483427, 10.043986690295196),-4.717120348345815),1200))
Right((WeightVector(DenseVector(-0.0017359381716284938, -2.5715215711166515, -2.4335126344214477, 1.1278237811928282, 0.8620899531076802, -3.733209708688329, 7.5275587823909635),-3.4254782818661154),1600))
Right((WeightVector(DenseVector(-0.0017038702534137977, -2.061961917666948, -1.9524113128371086, 0.8947896261468291, 0.6620863357125526, -2.983971567875775, 6.020093716385172),-2.6485371432287783),2000))
Right((WeightVector(DenseVector(-0.001755308810991471, -1.7208654753342294, -1.631122585329792, 0.7443413839061732, 0.5480489368211037, -2.490009676999104, 5.016773019265412),-2.1383302529505808),2400))
Right((WeightVector(DenseVector(-0.0018108527575395916, -1.4982520243038033, -1.4224106194623674, 0.6134504989272064, 0.4336720864646389, -2.1151300852854953, 4.280408819506705),-1.671721213613769),2800))
Right((WeightVector(DenseVector(-0.0016673787601437515, -1.3126456123006924, -1.2468789959383253, 0.5341322797914432, 0.3710752917819111, -1.853438211511537, 3.7446360868642348),-1.4218224283780958),3200))
Right((WeightVector(DenseVector(-0.001694880641326993, -1.1685362443569542, -1.1109063862516688, 0.4728272145840254, 0.3138057860191532, -1.6528693287070033, 3.332096411049109),-1.198823887480824),3600))
Right((WeightVector(DenseVector(-0.0017471744596173377, -1.0529193225267834, -1.0019217865253833, 0.42387543345226564, 0.26912729716228734, -1.484515194881968, 2.9988764952056135),-0.9995704878890712),4000))
Right((WeightVector(DenseVector(-0.001767028374149996, -1.0153971272412314, -0.966719726054561, 0.3239410443459869, 0.13679325889813895, -1.2781241467583933, 2.682515297292355),-0.6212232582907742),4400))
Right((WeightVector(DenseVector(-0.0016581446545430275, -0.9313714746483074, -0.8872189452161177, 0.29648936056343916, 0.12356576743267622, -1.1734166724884296, 2.4591535194545258),-0.5493251376685274),4800))
Right((WeightVector(DenseVector(-0.0016822481584387928, -0.8668689933885659, -0.826645183621845, 0.26623427012997064, 0.10061212697496204, -1.0779650491013062, 2.2650684020738234),-0.45170150540285214),5200))
Right((WeightVector(DenseVector(-0.0016476083588517515, -0.8061075847446292, -0.7688586624558662, 0.24474962497705674, 0.08316410636071848, -0.9996156261497408, 2.103062104796055),-0.3850053652762429),5600))
Right((WeightVector(DenseVector(-0.0015917035874121715, -0.7522011371535376, -0.7179416812226259, 0.22855620889272785, 0.07079752502912068, -0.9332540741144576, 1.9636381119762838),-0.33741027115891437),6000))
Right((WeightVector(DenseVector(-0.0015778538843431297, -0.7061109638101861, -0.6740867437820673, 0.21341460801557746, 0.06313348333428738, -0.8748156861121537, 1.8406756831199085),-0.29575831529656144),6400))
Right((WeightVector(DenseVector(-0.001615949425852979, -0.6713857046335034, -0.6414256845891244, 0.19319615362969803, 0.037279582767433386, -0.8177447746767342, 1.7281201764593734),-0.21786410883130408),6800))
Right((WeightVector(DenseVector(-0.0016309256616312518, -0.6372311499074903, -0.6091484929561617, 0.1795829127398632, 0.03116371188049702, -0.7697817923538158, 1.6301009753939193),-0.17810115261717765),7200))
Right((WeightVector(DenseVector(-0.001643304044183654, -0.6045518219716718, -0.578672042423727, 0.16988471193427607, 0.030241670030616185, -0.7329595187007072, 1.5440850918977849),-0.14504062683601815),7600))
Right((WeightVector(DenseVector(-0.0017198468179456803, -0.577692350893678, -0.5534935685308545, 0.15962236668002913, 0.030351619682078675, -0.6963037582891235, 1.465887020583038),-0.1011097775335836),8000))
Right((WeightVector(DenseVector(-0.0016763076688588612, -0.5628104270049235, -0.5394344256530725, 0.1382357732338304, 0.004972035300433185, -0.6487138757734425, 1.3861976214004639),-0.0338362474353481),8400))
Right((WeightVector(DenseVector(-0.001666126391911685, -0.5396839832794699, -0.517438955642074, 0.12972765479056977, 0.0015778719517727706, -0.6178305788457265, 1.3218184984168684),-0.010235334293603508),8800))
Right((WeightVector(DenseVector(-0.0016198080564979323, -0.5169736756805743, -0.4958167501575036, 0.12325406113237311, -0.0010292054929465309, -0.5917806412363062, 1.2642963730507666),0.003704309658023354),9200))
Right((WeightVector(DenseVector(-0.0015931205991177545, -0.49684862351669706, -0.47660210968977446, 0.11630806643547957, -0.0065050918235488656, -0.564638663423301, 1.210756652342826),0.026780589263202446),9600))
Right((WeightVector(DenseVector(-0.0016267164246548795, -0.47264524587183177, -0.45359839998827883, 0.11558456749225862, -0.012938560921542643, -0.5502172618254025, 1.1669736830361024),0.035008799801580635),10000))
Right((WeightVector(DenseVector(-0.0016122557286765728, -0.45517484259521834, -0.43707021610621355, 0.11035194129010524, -0.016683045236946054, -0.529056960059363, 1.1217381467680327),0.0542453949337411),10400))
Right((WeightVector(DenseVector(-0.0016185973049944507, -0.43830239596400544, -0.42122583100405075, 0.10669859169362153, -0.014681839276939125, -0.5107928662044381, 1.080257493909818),0.06573839759230994),10800))
Right((WeightVector(DenseVector(-0.0016170127627520609, -0.4229811719885258, -0.40666523897723134, 0.1024860527236792, -0.014687470365695184, -0.4933190620895167, 1.0414586167453217),0.07816408994772527),11200))
